nome;pop;ibge
 Adamantina;33888;3500105
 Adolfo;3469;3500204
 Aguaí;34919;3500303
 Águas da Prata;7758;3500402
 Águas de Lindóia;18163;3500501
 Águas de Santa Bárbara;5865;3500550
 Águas de São Pedro;3043;3500600
 Agudos;35828;3500709
 Alambari;5600;3500758
 Alfredo Marcondes;3923;3500808
 Altair;3994;3500907
 Altinópolis;15557;3501004
 Alto Alegre;4037;3501103
 Alumínio;17747;3501152
 Álvares Florence;3673;3501202
 Álvares Machado;23714;3501301
 Álvaro de Carvalho;4962;3501400
 Alvinlândia;3142;3501509
 Americana;229283;3501608
 Américo Brasiliense;39121;3501707
 Américo de Campos;5734;3501806
 Amparo;68945;3501905
 Analândia;4746;3502002
 Andradina;55943;3502101
 Angatuba;24038;3502200
 Anhembi;6467;3502309
 Anhumas;3919;3502408
 Aparecida;35570;3502507
 Aparecida d'Oeste;4192;3502606
 Apiaí;24681;3502705
 Araçariguama;20223;3502754
 Araçatuba;188884;3502804
 Araçoiaba da Serra;31373;3502903
 Aramina;5433;3503000
 Arandu;6154;3503109
 Arapeí;2471;3503158
 Araraquara;224389;3503208
 Araras;128676;3503307
 Arco Íris;1832;3503356
 Arealva;8127;3503406
 Areias;3807;3503505
 Areiópolis;10788;3503604
 Ariranha;9171;3503703
 Artur Nogueira;51092;3503802
 Arujá;86746;3503901
 Aspásia;1774;3503950
 Assis;100184;3504008
 Atibaia;137107;3504107
 Auriflama;14429;3504206
 Avaí;5223;3504305
 Avanhandava;11949;3504404
 Avaré;86669;3504503
 Bady Bassitt;16037;3504602
 Balbinos;3699;3504701
 Bálsamo;8460;3504800
 Bananal;10560;3504909
 Barão de Antonina;3328;3505005
 Barbosa;7142;3505104
 Bariri;33540;3505203
 Barra Bonita;34971;3505302
 Barra do Chapéu;5470;3505351
 Barra do Turvo;7676;3505401
 Barretos;116973;3505500
 Barrinha;31574;3505609
 Barueri;259793;3505708
 Bastos;20284;3505807
 Batatais;59517;3505906
 Bauru;360478;3506003
 Bebedouro;74373;3506102
 Bento de Abreu;2892;3506201
 Bernardino de Campos;10780;3506300
 Bertioga;60120;3506359
 Bilac;7676;3506409
 Birigui;118960;3506508
 Biritiba Mirim;31571;3506607
 Boa Esperança do Sul;14396;3506706
 Bocaina;11888;3506805
 Bofete;10790;3506904
 Boituva;55630;3507001
 Bom Jesus dos Perdões;23399;3507100
 Bom Sucesso de Itararé;3797;3507159
 Borá;810;3507209
 Boracéia;4662;3507308
 Borborema;15183;3507407
 Borebi;2524;3507456
 Botucatu;138590;3507506
 Bragança Paulista;160840;3507605
 Braúna;5452;3507704
 Brejo Alegre;2732;3507753
 Brodowski;23430;3507803
 Brotas;23423;3507902
 Buri;19428;3508009
 Buritama;16377;3508108
 Buritizal;4259;3508207
 Cabrália Paulista;4313;3508306
 Cabreúva;47842;3508405
 Caçapava;90057;3508504
 Cachoeira Paulista;31825;3508603
 Caconde;18786;3508702
 Cafelândia;17121;3508801
 Caiabu;4099;3508900
 Caieiras;97763;3509007
 Caiuá;5489;3509106
 Cajamar;74910;3509205
 Cajati;28795;3509254
 Cajobi;10046;3509304
 Cajuru;25206;3509403
 Campina do Monte Alegre;5763;3509452
 Campinas;1158944;3509502
 Campo Limpo Paulista;81126;3509601
 Campos do Jordão;49666;3509700
 Campos Novos Paulista;4760;3509809
 Cananéia;12289;3509908
 Canas;4929;3509957
 Cândido Mota;29997;3510005
 Cândido Rodrigues;2674;3510104
 Canitar;4862;3510153
 Capão Bonito;46303;3510203
 Capela do Alto;19913;3510302
 Capivari;53100;3510401
 Caraguatatuba;113208;3510500
 Carapicuíba;390010;3510609
 Cardoso;11740;3510708
 Casa Branca;29236;3510807
 Cássia dos Coqueiros;2518;3510906
 Castilho;20191;3511003
 Catanduva;116435;3511102
 Catiguá;7455;3511201
 Cedral;8673;3511300
 Cerqueira César;18879;3511409
 Cerquilho;45164;3511508
 Cesário Lange;16951;3511607
 Charqueada;16571;3511706
 Clementina;8087;3511904
 Colina;17568;3512001
 Colômbia;6037;3512100
 Conchal;26881;3512209
 Conchas;16966;3512308
 Cordeirópolis;23732;3512407
 Coroados;5802;3512506
 Coronel Macedo;4864;3512605
 Corumbataí;3945;3512704
 Cosmópolis;68838;3512803
 Cosmorama;7038;3512902
 Cotia;238189;3513009
 Cravinhos;33896;3513108
 Cristais Paulista;8265;3513207
 Cruzália;2144;3513306
 Cruzeiro;79386;3513405
 Cubatão;127079;3513504
 Cunha;21687;3513603
 Descalvado;32176;3513702
 Diadema;401159;3513801
 Dirce Reis;1713;3513850
 Divinolândia;10940;3513900
 Dobrada;8710;3514007
 Dois Córregos;26526;3514106
 Dolcinópolis;2051;3514205
 Dourado;8506;3514304
 Dracena;44694;3514403
 Duartina;12031;3514502
 Dumont;9321;3514601
 Echaporã;6235;3514700
 Eldorado;15072;3514809
 Elias Fausto;17048;3514908
 Elisiário;3428;3514924
 Embaúba;2409;3514957
 Embu das Artes;264787;3515004
 Embu_Guaçu;66993;3515103
 Emilianópolis;3063;3515129
 Engenheiro Coelho;19628;3515152
 Espírito Santo do Pinhal;42461;3515186
 Espírito Santo do Turvo;4685;3515194
 Estrela d'Oeste;8119;3515202
 Estrela do Norte;2661;3515301
 Euclides da Cunha Paulista;9523;3515350
 Fartura;15570;3515400
 Fernandópolis;65887;3515509
 Fernando Prestes;5567;3515608
 Fernão;1631;3515657
 Ferraz de Vasconcelos;188035;3515707
 Flora Rica;1615;3515806
 Floreal;2884;3515905
 Flórida Paulista;12249;3516002
 Florínia;2722;3516101
 Franca;337738;3516200
 Francisco Morato;170189;3516309
 Franco da Rocha;148126;3516408
 Gabriel Monteiro;2692;3516507
 Gália;6629;3516606
 Garça;42597;3516705
 Gastão Vidigal;4664;3516804
 Gavião Peixoto;4572;3516853
 General Salgado;10663;3516903
 Getulina;10827;3517000
 Glicério;4714;3517109
 Guaiçara;11698;3517208
 Guaimbê;5507;3517307
 Guaíra;38766;3517406
 Guapiaçu;20293;3517505
 Guapiara;17741;3517604
 Guará;20622;3517703
 Guaraçaí;8424;3517802
 Guaraci;10781;3517901
 Guarani d'Oeste;1932;3518008
 Guarantã;6461;3518107
 Guararapes;31822;3518206
 Guararema;28692;3518305
 Guaratinguetá;117177;3518404
 Guareí;15512;3518503
 Guariba;38344;3518602
 Guarujá;311128;3518701
 Guarulhos;1325750;3518800
 Guatapará;7345;3518859
 Guzolândia;5038;3518909
 Herculândia;9147;3519006
 Holambra;13901;3519055
 Hortolândia;222649;3519071
 Iacanga;11060;3519105
 Iacri;6305;3519204
 Iaras;6785;3519253
 Ibaté;33956;3519303
 Ibirá;11841;3519402
 Ibirarema;7351;3519501
 Ibitinga;57511;3519600
 Ibiúna;75390;3519709
 Icém;7922;3519808
 Iepê;7859;3519907
 Igaraçu do Tietê;23976;3520004
 Igarapava;29176;3520103
 Igaratá;9217;3520202
 Iguape;29311;3520301
 Ilhabela;32474;3520400
 Ilha Comprida;10031;3520426
 Ilha Solteira;25643;3520442
 Indaiatuba;235964;3520509
 Indiana;4785;3520608
 Indiaporã;3860;3520707
 Inúbia Paulista;3842;3520806
 Ipaussu;14333;3520905
 Iperó;33195;3521002
 Ipeúna;7244;3521101
 Ipiguá;5083;3521150
 Iporanga;4380;3521200
 Ipuã;15526;3521309
 Iracemápolis;22982;3521408
 Irapuã;7647;3521507
 Irapuru;7419;3521606
 Itaberá;17639;3521705
 Itaí;26002;3521804
 Itajobi;14616;3521903
 Itaju;3577;3522000
 Itanhaém;96394;3522109
 Itaóca;3186;3522158
 Itapecerica da Serra;166229;3522208
 Itapetininga;156973;3522307
 Itapeva;90839;3522406
 Itapevi;229982;3522505
 Itapira;71034;3522604
 Itapirapuã Paulista;4109;3522653
 Itápolis;41262;3522703
 Itaporanga;14653;3522802
 Itapuí;13467;3522901
 Itapura;4804;3523008
 Itaquaquecetuba;360462;3523107
 Itararé;48760;3523206
 Itariri;16902;3523305
 Itatiba;114835;3523404
 Itatinga;20033;3523503
 Itirapina;16840;3523602
 Itirapuã;6204;3523701
 Itobi;7596;3523800
 Itu;166747;3523909
 Itupeva;56285;3524006
 Ituverava;39966;3524105
 Jaborandi;6664;3524204
 Jaboticabal;73766;3524303
 Jacareí;224775;3524402
 Jaci;6712;3524501
 Jacupiranga;17195;3524600
 Jaguariúna;53018;3524709
 Jales;47220;3524808
 Jambeiro;6064;3524907
 Jandira;120523;3525003
 Jardinópolis;41916;3525102
 Jarinu;28642;3525201
 Jaú;144392;3525300
 Jeriquara;3144;3525409
 Joanópolis;12500;3525508
 João Ramalho;4336;3525607
 José Bonifácio;35348;3525706
 Júlio Mesquita;4593;3525805
 Jumirim;3211;3525854
 Jundiaí;400549;3525904
 Junqueirópolis;19798;3526001
 Juquiá;18862;3526100
 Juquitiba;30040;3526209
 Lagoinha;4818;3526308
 Laranjal Paulista;27327;3526407
 Lavínia;8547;3526506
 Lavrinhas;7051;3526605
 Leme;99172;3526704
 Lençóis Paulista;65399;3526803
 Limeira;292497;3526902
 Lindóia;7544;3527009
 Lins;74441;3527108
 Lorena;85839;3527207
 Lourdes;2174;3527256
 Louveira;46225;3527306
 Lucélia;20806;3527405
 Lucianópolis;2256;3527504
 Luís Antônio;13654;3527603
 Luiziânia;5607;3527702
 Lupércio;4407;3527801
 Lutécia;2637;3527900
 Macatuba;16801;3528007
 Macaubal;7742;3528106
 Macedônia;3591;3528205
 Magda;3110;3528304
 Mairinque;45732;3528403
 Mairiporã;95122;3528502
 Manduri;9426;3528601
 Marabá Paulista;4905;3528700
 Maracaí;13489;3528809
 Marapoama;2856;3528858
 Mariápolis;3964;3528908
 Marília;228763;3529005
 Marinópolis;2098;3529104
 Martinópolis;25384;3529203
 Matão;79453;3529302
 Mauá;451947;3529401
 Mendonça;4971;3529500
 Meridiano;3762;3529609
 Mesópolis;1890;3529658
 Miguelópolis;21242;3529708
 Mineiros do Tietê;12487;3529807
 Miracatu;19971;3529906
 Mira Estrela;2916;3530003
 Mirandópolis;28438;3530102
 Mirante do Paranapanema;17634;3530201
 Mirassol;57062;3530300
 Mirassolândia;4621;3530409
 Mococa;66655;3530508
 Mogi das Cruzes;423912;3530607
 Mogi Guaçu;146200;3530706
Mogi Mirim;89738;3530805
 Mombuca;3320;3530904
 Monções;2169;3531001
 Mongaguá;52970;3531100
 Monte Alegre do Sul;7642;3531209
 Monte Alto;48107;3531308
 Monte Aprazível;23181;3531407
 Monte Azul Paulista;18335;3531506
 Monte Castelo;4001;3531605
 Monteiro Lobato;4398;3531704
 Monte Mor;57423;3531803
 Morro Agudo;31696;3531902
 Morungaba;12958;3532009
 Motuca;4569;3532058
 Murutinga do Sul;4264;3532108
 Nantes;3000;3532157
 Narandiba;4727;3532207
 Natividade da Serra;6690;3532306
 Nazaré Paulista;18041;3532405
 Neves Paulista;8659;3532504
 Nhandeara;10787;3532603
 Nipoã;4843;3532702
 Nova Aliança;6342;3532801
 Nova Campina;9425;3532827
 Nova Canaã Paulista;1970;3532843
 Nova Castilho;1167;3532868
 Nova Europa;10463;3532900
 Nova Granada;20578;3533007
 Nova Guataporanga;2189;3533106
 Nova Independência;3607;3533205
 Novais;5339;3533254
 Nova Luzitânia;3936;3533304
 Nova Odessa;56767;3533403
 Novo Horizonte;38504;3533502
 Nuporanga;7183;3533601
 Ocauçu;4148;3533700
 Óleo;2550;3533809
 Olímpia;52055;3533908
 Onda Verde;4159;3534005
 Oriente;6231;3534104
 Orindiúva;6640;3534203
 Orlândia;41801;3534302
 Osasco;677750;3534401
 Oscar Bressane;2518;3534500
 Osvaldo Cruz;31210;3534609
 Ourinhos;109043;3534708
 Ouroeste;9515;3534757
 Ouro Verde;8174;3534807
 Pacaembu;13090;3534906
 Palestina;11962;3535002
 Palmares Paulista;12594;3535101
 Palmeira d'Oeste;9203;3535200
 Palmital;21523;3535309
 Panorama;15078;3535408
 Paraguaçu Paulista;43812;3535507
 Paraibuna;18060;3535606
 Paraíso;6202;3535705
 Paranapanema;19517;3535804
 Paranapuã;3879;3535903
 Parapuã;10569;3536000
 Pardinho;6226;3536109
 Pariquera_Açu;19094;3536208
 Parisi;2052;3536257
 Patrocínio Paulista;14174;3536307
 Paulicéia;6988;3536406
 Paulínia;100915;3536505
 Paulistânia;1772;3536570
 Paulo de Faria;8528;3536604
 Pederneiras;44775;3536703
 Pedra Bela;5930;3536802
 Pedranópolis;2445;3536901
 Pedregulho;16167;3537008
 Pedreira;45618;3537107
 Pedrinhas Paulista;2997;3537156
 Pedro de Toledo;10814;3537206
 Penápolis;60362;3537305
 Pereira Barreto;25314;3537404
 Pereiras;8240;3537503
 Peruíbe;64892;3537602
 Piacatu;5772;3537701
 Piedade;53230;3537800
 Pilar do Sul;27867;3537909
 Pindamonhangaba;160506;3538006
 Pindorama;16049;3538105
 Pinhalzinho;14433;3538204
 Piquerobi;3534;3538303
 Piquete;13718;3538501
 Piracaia;26048;3538600
 Piracicaba;385155;3538709
 Piraju;28571;3538808
 Pirajuí;23199;3538907
 Pirangi;10792;3539004
 Pirapora do Bom Jesus;18188;3539103
 Pirapozinho;26709;3539202
 Pirassununga;73027;3539301
 Piratininga;12987;3539400
 Pitangueiras;37934;3539509
 Planalto;5031;3539608
 Platina;3439;3539707
 Poá;113719;3539806
 Poloni;5615;3539905
 Pompéia;21027;3540002
 Pongaí;3368;3540101
 Pontal;47661;3540200
 Pontalinda;4409;3540259
 Pontes Gestal;2524;3540309
 Populina;4037;3540408
 Porangaba;9122;3540507
 Porto Feliz;51149;3540606
 Porto Ferreira;53607;3540705
 Potim;20434;3540754
 Potirendaba;16398;3540804
 Pracinha;2899;3540853
 Pradópolis;20248;3540903
 Praia Grande;306207;3541000
 Pratânia;5040;3541059
 Presidente Alves;4036;3541109
 Presidente Bernardes;13700;3541208
 Presidente Epitácio;42174;3541307
 Presidente Prudente;218544;3541406
 Presidente Venceslau;38000;3541505
 Promissão;38873;3541604
 Quadra;3616;3541653
 Quatá;13710;3541703
 Queiroz;3183;3541802
 Queluz;12404;3541901
 Quintana;6403;3542008
 Rafard;8893;3542107
 Rancharia;28828;3542206
 Redenção da Serra;3841;3542305
 Regente Feijó;19298;3542404
 Reginópolis;7232;3542503
 Registro;54133;3542602
 Restinga;7309;3542701
 Ribeira;3257;3542800
 Ribeirão Bonito;12791;3542909
 Ribeirão Branco;17710;3543006
 Ribeirão Corrente;4587;3543105
 Ribeirão do Sul;4371;3543204
 Ribeirão dos Índios;2148;3543238
 Ribeirão Grande;7493;3543253
 Ribeirão Pires;117917;3543303
 Ribeirão Preto;669180;3543402
 Riversul;5779;3543501
 Rifaina;3460;3543600
 Rincão;10476;3543709
 Rinópolis;9757;3543808
 Rio Claro;198330;3543907
 Rio das Pedras;33493;3544004
 Rio Grande da Serra;48648;3544103
 Riolândia;11256;3544202
 Rosana;18588;3544251
 Roseira;10439;3544301
 Rubiácea;3034;3544400
 Rubinéia;2967;3544509
 Sabino;5422;3544608
 Sagres;2363;3544707
 Sales;5942;3544806
 Sales Oliveira;11342;3544905
 Salesópolis;16590;3545001
 Salmourão;5053;3545100
 Saltinho;7721;3545159
 Salto;113416;3545209
 Salto de Pirapora;43433;3545308
 Salto Grande;9029;3545407
 Sandovalina;4108;3545506
 Santa Adélia;14787;3545605
 Santa Albertina;5685;3545704
 Santa Bárbara d'Oeste;187109;3545803
 Santa Branca;14099;3546009
 Santa Clara d'Oeste;2024;3546108
 Santa Cruz da Conceição;4280;3546207
 Santa Cruz da Esperança;2054;3546256
 Santa Cruz das Palmeiras;32987;3546306
 Santa Cruz do Rio Pardo;45671;3546405
 Santa Ernestina;5532;3546504
 Santa Fé do Sul;30503;3546603
 Santa Gertrudes;25266;3546702
 Santa Isabel;54191;3546801
 Santa Lucia;8503;3546900
 Santa Maria da Serra;5992;3547007
 Santa Mercedes;2814;3547106
 Santana da Ponte Pensa;1532;3547205
 Santana de Parnaíba;132317;3547304
 Santa Rita d'Oeste;2432;3547403
 Santa Rita do Passa Quatro;26408;3547502
 Santa Rosa do Viterbo;25264;3547601
 Santa Salete;1443;3547650
 Santo Anastácio;20179;3547700
 Santo André;690551;3547809
 Santo Antonio da Alegria;6572;3547908
 Santo Antonio de Posse;22424;3548005
 Santo Antonio do Aracanguá;8135;3548054
 Santo Antonio do Jardim;5842;3548104
 Santo Antonio do Pinhal;6596;3548203
 Santo Expedito;2939;3548302
 Santópolis do Aguapeí;4593;3548401
 Santos;426646;3548500
 São Bento do Sapucaí;10510;3548609
 São Bernardo do Campo;803771;3548708
 São Caetano do Sul;150988;3548807
 São Carlos;238834;3548906
 São Francisco;2700;3549003
 São João da Boa Vista;86679;3549102
 São João das Duas Pontes;2492;3549201
 São João de Iracema;1838;3549250
 São João do Pau d'Alho;2005;3549300
 São Joaquim da Barra;49569;3549409
 São José da Bela Vista;8658;3549508
 São José do Barreiro;4069;3549607
 São José do Rio Pardo;52960;3549706
 São José do Rio Preto;440796;3549805
 São José dos Campos;695163;3549904
 São Lourenço da Serra;15246;3549953
 São Luís do Paraitinga;10531;3550001
 São Manuel;39326;3550100
 São Miguel Arcanjo;31872;3550209
 São Paulo;11753659;3550308
 São Pedro;33725;3550407
 São Pedro do Turvo;7329;3550506
 São Roque;85844;3550605
 São Sebastião;84569;3550704
 São Sebastião da Grama;11952;3550803
 São Simão;14742;3550902
 São Vicente;352794;3551009
 Sarapuí;9890;3551108
 Sarutaiá;3639;3551207
 Sebastianópolis do Sul;3250;3551306
 Serra Azul;12070;3551405
 Serrana;43352;3551504
 Serra Negra;27255;3551603
 Sertãozinho;120116;3551702
 Sete Barras;12654;3551801
 Severínia;16806;3551900
 Silveiras;6121;3552007
 Socorro;38407;3552106
 Sorocaba;644397;3552205
 Sud Mennucci;7664;3552304
 Sumaré;275147;3552403
 Suzano;285257;3552502
 Suzanápolis;3842;3552551
 Tabapuã;11803;3552601
 Tabatinga;15658;3552700
 Taboão da Serra;275988;3552809
 Taciba;5987;3552908
 Taguaí;12834;3553005
 Taiaçu;6009;3553104
 Taiúva;6302;3553203
 Tambaú;22712;3553302
 Tanabi;24926;3553401
 Tapiraí;7732;3553500
 Tapiratiba;12627;3553609
 Taquaral;2743;3553658
 Taquaritinga;54381;3553708
 Taquarituba;23029;3553807
 Taquarivaí;5622;3553856
 Tarabaí;7135;3553906
 Tarumã;14428;3553955
 Tatuí;117558;3554003
 Taubaté;301856;3554102
 Tejupá;4707;3554201
 Teodoro Sampaio;22219;3554300
 Terra Roxa;8999;3554409
 Tietê;40244;3554508
 Timburi;2572;3554607
 Torre de Pedra;2307;3554656
 Torrinha;9635;3554706
 Trabiju;1670;3554755
 Tremembé;45066;3554805
 Três Fronteiras;5525;3554904
 Tuiuti;6439;3554953
 Tupã;62950;3555000
 Tupi Paulista;14829;3555109
 Turiúba;1917;3555208
 Turmalina;1836;3555307
 Ubarana;5914;3555356
 Ubatuba;86870;3555406
 Ubirajara;4616;3555505
 Uchôa;9645;3555604
 União Paulista;1712;3555703
 Urânia;8660;3555802
 Uru;1213;3555901
 Urupês;13081;3556008
 Valentim Gentil;12433;3556107
 Valinhos;121809;3556206
 Valparaíso;23711;3556305
 Vargem;9762;3556354
 Vargem Grande do Sul;41075;3556404
 Vargem Grande Paulista;50797;3556453
 Várzea Paulista;118022;3556503
 Vera Cruz;10564;3556602
 Vinhedo;74858;3556701
 Viradouro;18148;3556800
 Vista Alegre do Alto;7802;3556909
 Vitória Brasil;1756;3556958
 Votorantim;117640;3557006
 Votuporanga;90432;3557105
 Zacarias;2518;3557154
 Chavantes;12201;3557204
 Estiva Gerbi;10877;3557303
